Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,47.69330620765686,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,47.93835639953613,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,48.19756054878235,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,48.43143653869629,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,48.69413661956787,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,49.00705146789551,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,49.32037949562073,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,49.579644441604614,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,49.83715844154358,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,50.04678511619568,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,50.32630014419556,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,50.580958127975464,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,50.80388116836548,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,51.10570406913757,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,51.36182928085327,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,51.8849732875824,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,52.3078191280365,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,52.679211139678955,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,52.94529390335083,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,53.26101469993591,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,53.54124450683594,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,53.77987051010132,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,54.06124138832092,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,54.333563566207886,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,54.66913557052612,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,54.934653759002686,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,55.2002649307251,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,55.524449825286865,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,55.76929187774658,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,56.060107946395874,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,56.26755881309509,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,56.538352727890015,[],[],0
